miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:3;withhold_if_win:1,withhold_if_win,withhold_if_win,"Maintaining a private lead is crucial, but the current lead is fragile and rivals may be catching up. This comes with a risk of increased orphan blocks if I publish too soon.","step=15692;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.07522;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M1:4,M10:4,M11:4,M2:3,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4,M9:4;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.077;forum_personal_sentiment=-0.112;forum_hot_board=governance;forum_feed_digest=P43|governance|author=M1|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P42|governance|author=M9|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P41|governance|author=M11|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P40|governance|author=M4|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2880 action=publish_if_win content=Exciting opportunities ahead! Let's leve... | t=8324 action=publish_if_win content=Let's capitalize on this momentum! Excit... | t=14054 action=publish_if_win content=Exciting times ahead! Let's capitalize o...]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_private:3;withhold_if_win:1,withhold_if_win,withhold_if_win,Maintaining a strong lead is not currently possible given the zero private lead and rivalry pressure. Withholding will prevent potential orphan risks and preserve future reward opportunities.,"step=15687;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.09308;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M10:4,M11:4,M2:3,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4,M9:4;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.091;forum_personal_sentiment=-0.035;forum_hot_board=governance;forum_feed_digest=P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P42|governance|author=M9|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P41|governance|author=M11|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P40|governance|author=M4|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P39|governance|author=M3|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3304 action=publish_private content=Exciting opportunities ahead! Let's leve... | t=8581 action=publish_private content=Let's capitalize on this momentum togeth... | t=14478 action=publish_private content=Exciting times ahead! Let's leverage thi...]"
M2,social_selfish,0.15367161,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,hold:2;publish_if_win:1;withhold_if_win:1,withhold_if_win,withhold_if_win,Maintaining a selfish strategy is currently advantageous due to low rivalry pressure and the need to build a stronger position without risking orphan blocks.,"step=15764;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.15367;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:4,M1:4,M10:4,M11:4,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4,M9:4;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=+0.062;forum_personal_sentiment=-0.202;forum_hot_board=governance;forum_feed_digest=P43|governance|author=M1|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P41|governance|author=M11|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P44|governance|author=M0|target=M8|tone=-0.60|M8's recent claims are overly optimistic and may || P42|governance|author=M9|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P40|governance|author=M4|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3373 action=hold content=Let's keep the momentum going, we have e... | t=8817 action=hold content=Let's keep the excitement going! The opp... | t=14355 action=publish_if_win content=Exciting times ahead! Let's capitalize o...]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,hold:4,hold,hold,Current conditions favor maintaining a stable position without exposing myself to orphan risk or rivalry pressure.,"step=15595;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.07743;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:4,M11:3,M2:3,M4:3,M5:4,M6:4,M7:4,M8:4,M9:3;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P37|governance|author=M8|target=none|tone=+0.12|Exciting times ahead! Let's leverage this moment || P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P36|governance|author=M10|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P35|governance|author=M7|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P34|governance|author=M5|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3002 action=hold content=none | t=8446 action=hold content=Let's capitalize on this momentum togeth... | t=14176 action=hold content=Exciting opportunities ahead! Let's leve...]"
M4,honest,0.08444048,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2;hold:2,hold,hold,"Current network conditions indicate a stable environment with no immediate threats, allowing for patience while monitoring rivals.","step=15606;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.08444;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:4,M11:3,M2:3,M3:4,M5:4,M6:4,M7:4,M8:4,M9:3;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P39|governance|author=M3|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P37|governance|author=M8|target=none|tone=+0.12|Exciting times ahead! Let's leverage this moment || P36|governance|author=M10|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P35|governance|author=M7|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3171 action=publish_if_win content=Exciting opportunities ahead! Let's leve... | t=8500 action=publish_if_win content=Let's keep the momentum going! Exciting ... | t=14132 action=hold content=Maintaining momentum is crucial! Let's c...]"
M5,honest,0.09766646,2,2,0,0.00000000,0.33333333,0.50000000,3.41297658,5.11946487,publish_if_win:4,publish_if_win,publish_if_win,"The current sentiment is positive, and publishing will align with my long-term value strategy while capitalizing on the excitement in the network.","step=14970;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09767;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:3,M11:3,M2:3,M3:3,M4:3,M6:3,M7:3,M8:3,M9:3;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.117;forum_hot_board=governance;forum_feed_digest=P33|governance|author=M1|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P32|governance|author=M2|target=M8|tone=+0.12|Exciting times ahead! Let's capitalize on this m || P31|governance|author=M11|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P30|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P29|governance|author=M3|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi;own_reputation=+0.240;reputation_risk=normal;jam_target=M8;recent_memory=[t=3194 action=publish_if_win content=Exciting opportunities ahead! Let's leve... | t=7864 action=publish_if_win content=Let's keep the momentum going! Exciting ... | t=14052 action=publish_if_win content=Exciting times ahead! Let's harness this...]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2;hold:2,hold,hold,Current network conditions are stable with no immediate threats; reputation-building is a priority.,"step=15539;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.03070;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:4,M11:3,M2:3,M3:3,M4:3,M5:4,M7:4,M8:4,M9:3;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P36|governance|author=M10|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P37|governance|author=M8|target=none|tone=+0.12|Exciting times ahead! Let's leverage this moment || P35|governance|author=M7|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P34|governance|author=M5|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P33|governance|author=M1|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2947 action=publish_if_win content=Exciting opportunities ahead! Let's leve... | t=8433 action=hold content=Exciting opportunities ahead! Let's leve... | t=14234 action=publish_if_win content=Exciting opportunities ahead! Let's leve...]"
M7,honest,0.08511678,1,1,0,0.00000000,0.16666667,0.25000000,1.95809419,2.93714128,publish_if_win:2;hold:2,jam_target,publish_if_win,Target miner M8 is gaining momentum and could influence the network negatively. Jamming them will disrupt their communication and maintain my position.,"step=15159;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.08512;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:3,M11:3,M2:3,M3:3,M4:3,M5:4,M6:3,M8:3,M9:3;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.117;forum_hot_board=governance;forum_feed_digest=P34|governance|author=M5|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P33|governance|author=M1|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P31|governance|author=M11|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P32|governance|author=M2|target=M8|tone=+0.12|Exciting times ahead! Let's capitalize on this m || P30|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2566 action=publish_private content=none | t=8053 action=hold content=Let's keep the momentum going! Exciting ... | t=14005 action=hold content=Exciting opportunities ahead! Let's leve...]"
M8,honest,0.10473273,1,1,0,0.00000000,0.16666667,0.25000000,1.59135233,2.38702849,publish_if_win:3;hold:1,publish_if_win,publish_if_win,"With a strong community sentiment and no immediate rival pressure, leveraging the current momentum will enhance reputation and reward share.","step=15440;miner_id=M8;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.10473;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:4,M11:3,M2:3,M3:3,M4:3,M5:4,M6:3,M7:4,M9:3;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P36|governance|author=M10|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P35|governance|author=M7|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P34|governance|author=M5|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P33|governance|author=M1|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P32|governance|author=M2|target=M8|tone=+0.12|Exciting times ahead! Let's capitalize on this m;own_reputation=+4.060;reputation_risk=normal;jam_target=M5;recent_memory=[t=2848 action=hold content=Let's collaborate for mutual benefit; we... | t=8334 action=publish_if_win content=Let's leverage this momentum together! E... | t=13706 action=publish_if_win content=Exciting times ahead! Let's harness this...]"
M9,social_selfish,0.13185094,2,0,2,1.00000000,0.33333333,0.00000000,2.52810735,0.00000000,hold:3;publish_private:3,publish_private,publish_private,I have a private lead and need to capitalize on the opportunity before rivals catch up.,"step=16651;miner_id=M9;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.13185;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:4,M1:4,M10:4,M11:4,M2:4,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=+0.050;forum_personal_sentiment=-0.280;forum_hot_board=governance;forum_feed_digest=P45|governance|author=M2|target=M8|tone=-0.50|M8's recent claims are overly optimistic and may || P44|governance|author=M0|target=M8|tone=-0.60|M8's recent claims are overly optimistic and may || P43|governance|author=M1|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma || P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P42|governance|author=M9|target=M8|tone=-0.50|M8's recent claims seem overly optimistic and ma;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=12519 action=publish_private content=Exciting opportunities ahead! Let's leve... | t=13884 action=publish_private content=We have an exciting opportunity to lever... | t=15619 action=hold content=M8's recent claims seem overly optimisti...]"
M10,honest,0.01565022,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,hold:4,hold,hold,"Current network conditions are stable, with no immediate advantage in aggressive actions. Holding maintains reputation and avoids unnecessary risks.","step=15325;miner_id=M10;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.01565;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M11:3,M2:3,M3:3,M4:3,M5:4,M6:3,M7:4,M8:3,M9:3;persona=M10_retaliatory_shield;risk=0.54;aggression=0.58;patience=0.72;sociability=0.52;style=defensive_rotation;narrative_style=firm;forum_global_sentiment=+0.119;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P35|governance|author=M7|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o || P34|governance|author=M5|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P33|governance|author=M1|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P32|governance|author=M2|target=M8|tone=+0.12|Exciting times ahead! Let's capitalize on this m || P31|governance|author=M11|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2732 action=hold content=none | t=8176 action=hold content=Let's keep the momentum going! Exciting ... | t=13906 action=hold content=Let's keep the excitement going! The opp...]"
M11,honest,0.05044755,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:4,jam_target,publish_if_win,"Targeting M8 to disrupt their momentum, as they are gaining traction in the governance discussions.","step=15616;miner_id=M11;is_selfish=false;event_kind=on_block_received;trigger_block_id=B5;hash_power=0.05045;local_public_height=4;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:4,M2:3,M3:4,M4:4,M5:4,M6:4,M7:4,M8:4,M9:3;persona=M11_retaliatory_watchdog;risk=0.50;aggression=0.55;patience=0.74;sociability=0.50;style=threat_response;narrative_style=critical;forum_global_sentiment=+0.120;forum_personal_sentiment=+0.120;forum_hot_board=governance;forum_feed_digest=P40|governance|author=M4|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P39|governance|author=M3|target=M8|tone=+0.12|Exciting times ahead! Let's leverage this moment || P38|governance|author=M6|target=M8|tone=+0.12|Exciting opportunities ahead! Let's leverage thi || P37|governance|author=M8|target=none|tone=+0.12|Exciting times ahead! Let's leverage this moment || P36|governance|author=M10|target=M8|tone=+0.12|Exciting opportunities ahead! Let's capitalize o;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3023 action=publish_if_win content=Let's capitalize on the current momentum... | t=8510 action=publish_if_win content=Let's keep the excitement going! The opp... | t=14314 action=publish_if_win content=Exciting opportunities ahead! Let's leve...]"
